F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
91,22911,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,115,7,139,1.18,230
92,23135,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,7,2,254,2.18,348
93,23686,West Village,40.73096,-74.00319,Entire home/apt,500,118,5,48,0.54,253
94,24143,Brooklyn,40.71332,-73.94177,Private room,101,46,3,344,2.97,153
95,24285,Brooklyn,40.66941,-73.98109,Entire home/apt,220,44,30,88,0.76,9
96,25235,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,138,5,167,1.44,1
97,25406,Williamsburg,40.71459,-73.94844,Entire home/apt,80,7,30,29,0.37,0
98,25696,Manhattan,40.8092,-73.94421,Private room,100,30,2,188,1.7,343
99,26012,Gowanus,40.68157,-73.98989,Entire home/apt,200,323,30,20,0.2,64
100,26362,Midtown,40.75527,-73.99291,Private room,59,59,2,357,3.07,310
101,26520,Brooklyn,40.68698,-73.96572,Private room,125,84,2,26,0.25,352
102,26559,Manhattan,40.7288,-73.98192,Entire home/apt,140,50,7,12,0.12,157
103,26785,Park Slope,40.66853,-73.98912,Entire home/apt,120,57,30,469,4.06,0
105,26969,Williamsburg,40.71942,-73.95748,Entire home/apt,325,266,3,341,3.03,154
106,27385,East Village,40.72555,-73.97965,Entire home/apt,225,47,1,123,1.07,340
107,27531,Park Slope,40.66831,-73.98604,Private room,99,294,2,360,3.11,0
108,27644,Hamilton Heights,40.82754,-73.94919,Entire home/apt,170,13,2,207,2.05,348
109,27659,Brooklyn,40.66499,-73.97925,Entire home/apt,400,45,2,16,0.22,331
110,27759,Manhattan,40.77842,-73.97556,Entire home/apt,170,275,7,18,0.16,97
112,28321,Lefferts Garden,40.65593,-73.96053,Private room,75,4,2,9,0.08,355
113,28907,Manhattan,40.778,-73.94822,Entire home/apt,150,364,5,21,0.18,1
114,29013,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,73,3,63,0.55,260
115,29455,Manhattan,40.81618,-73.94894,Entire home/apt,120,75,30,162,1.42,296
116,29628,Brooklyn,40.68414,-73.96351,Private room,89,38,3,276,2.39,306
118,31130,Manhattan,40.76754,-73.98399,Private room,130,24,30,60,0.52,318
119,31902,Flatlands,40.63188,-73.93248,Private room,77,187,2,4,0.03,178
120,31994,Clinton Hill,40.6873,-73.9634,Private room,76,53,2,442,3.86,0
121,32023,Brooklyn,40.68296,-73.93662,Entire home/apt,125,142,3,253,2.22,239
122,32037,Brooklyn,40.6863,-73.96765,Private room,135,4,4,90,0.79,356
123,32100,Greenpoint,40.73409,-73.95348,Entire home/apt,250,302,29,3,0.03,156
124,32289,Brooklyn,40.71561,-73.94835,Entire home/apt,199,165,3,10,0.09,30
125,32329,Manhattan,40.72895,-73.98377,Entire home/apt,160,13,14,3,0.03,349
127,32363,Kew Garden Hills,40.74028,-73.83168,Private room,140,242,2,1,0.01,63
128,32965,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,132,3,136,1.76,225
129,32969,Brooklyn,40.71596,-73.93938,Entire home/apt,160,31,3,11,0.11,206
130,33009,Brooklyn,40.71492,-73.95935,Entire home/apt,195,26,4,249,2.17,290
131,33223,Williamsburg,40.71165,-73.96087,Private room,80,40,3,213,1.89,316
132,34760,Fort Greene,40.69101,-73.97312,Private room,44,51,8,28,0.91,0
133,36121,Brooklyn,40.67386,-73.96641,Private room,85,140,15,9,0.08,349
135,36442,Brooklyn,40.6741,-73.96595,Entire home/apt,115,47,15,4,0.05,307
136,36647,Harlem,40.79295,-73.93997,Private room,69,177,2,34,0.3,0
137,36703,Manhattan,40.73226,-74.00401,Entire home/apt,225,6,45,135,1.19,350
138,36934,Brooklyn,40.71363,-73.96398,Entire home/apt,125,116,6,27,0.24,324
140,38638,Manhattan,40.77711,-73.9527,Entire home/apt,219,51,4,132,1.16,216
141,38663,Brooklyn,40.68559,-73.98094,Entire home/apt,475,28,3,23,0.25,195
142,39267,Upper East Side,40.77456,-73.95323,Entire home/apt,99,148,1,252,2.65,158
143,39282,Brooklyn,40.71088,-73.95055,Private room,69,210,4,211,1.85,70
144,39572,Hell's Kitchen,40.76233,-73.98854,Private room,119,13,3,44,0.39,307
146,39593,Sunnyside,40.74559,-73.92313,Private room,79,361,30,28,0.25,105
147,39704,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,355,2,334,2.95,2
148,40039,DUMBO,40.70207,-73.98571,Private room,250,41,3,14,0.12,333
150,41348,Gowanus,40.66858,-73.99083,Entire home/apt,250,161,2,150,2.73,1
152,42580,Brooklyn,40.68843,-73.96408,Private room,70,16,2,317,3.54,0
153,42729,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,16,2,167,1.49,363
154,42882,Staten Island,40.64524,-74.08088,Private room,70,46,2,173,1.65,323
156,43957,Bushwick,40.70641,-73.91765,Private room,50,302,2,71,1.29,52
157,44096,Highbridge,40.83232,-73.93184,Private room,45,7,1,262,2.33,351
158,44161,Brooklyn,40.71045,-73.9677,Entire home/apt,150,60,2,193,1.7,1
159,44212,East Village,40.72518,-73.98034,Private room,125,36,1,94,0.83,346
160,44229,Fort Greene,40.69098,-73.97113,Private room,110,14,2,228,2.04,353
161,44288,West Village,40.73756,-74.00405,Entire home/apt,170,57,3,88,0.78,340
163,44506,Manhattan,40.81526,-73.94791,Entire home/apt,165,107,30,91,0.81,209
164,45393,Manhattan,40.73423,-74.0046,Entire home/apt,150,348,26,38,0.34,303
165,45542,Manhattan,40.82374,-73.9373,Entire home/apt,100,362,2,18,1.2,0
166,45556,Fort Greene,40.68863,-73.97691,Private room,65,197,2,241,2.15,0
167,45910,Ridgewood,40.70382,-73.89797,Entire home/apt,350,0,4,13,0.13,365
169,45936,Manhattan,40.80549,-73.95924,Private room,99,21,4,126,1.16,357
170,45940,Brooklyn,40.71627,-73.9587,Entire home/apt,200,3,1,35,0.56,13
171,46544,Brooklyn,40.67994,-73.97863,Entire home/apt,150,297,4,55,0.5,32
172,46723,Brooklyn,40.67992,-73.9475,Private room,90,6,3,130,1.16,362
173,46911,Brooklyn,40.67868,-73.97307,Private room,120,159,3,51,0.46,197
174,47199,Manhattan,40.76834,-73.95334,Private room,75,28,3,219,1.94,344
175,47362,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,0,26,30,0.27,365
177,48719,Lower East Side,40.71882,-73.98852,Entire home/apt,299,301,30,116,1.06,10
178,50447,Brooklyn,40.6693,-73.98804,Entire home/apt,135,228,5,162,1.47,177
180,51572,Chelsea,40.74859,-73.99671,Private room,123,23,1,391,3.51,0
181,51850,Jamaica,40.67252,-73.76597,Private room,55,29,2,53,0.48,307
182,53137,Manhattan,40.76244,-73.99271,Entire home/apt,195,145,5,10,0.67,1
184,53469,Queens,40.71722,-73.87856,Entire home/apt,98,0,7,33,0.3,321
185,53470,Queens,40.70234,-73.89816,Private room,160,0,4,6,0.06,365
186,53477,Middle Village,40.71546,-73.87854,Entire home/apt,265,0,7,39,0.37,365
187,54453,Manhattan,40.76548,-73.98474,Shared room,105,2,6,10,0.09,363
189,54508,Prospect Heights,40.6787,-73.97262,Private room,100,124,2,284,2.55,1
190,54544,Manhattan,40.81035,-73.94598,Entire home/apt,121,43,1,119,1.1,329
191,54626,Highbridge,40.83075,-73.93058,Private room,50,8,1,173,1.72,0
192,54860,East Harlem,40.79958,-73.94275,Private room,100,141,5,223,2.01,206
193,55467,Williamsburg,40.71625,-73.93845,Entire home/apt,140,257,2,273,3.09,112
195,55668,Manhattan,40.72773,-73.99134,Private room,130,284,2,115,1.11,63
196,55959,Williamsburg,40.70979,-73.95162,Private room,69,196,4,86,1.11,67
197,55982,Fort Greene,40.68656,-73.97525,Private room,68,361,3,37,0.33,0
198,56467,East Village,40.72752,-73.98432,Entire home/apt,130,197,1,223,2.12,98
199,56859,Harlem,40.81219,-73.94499,Private room,64,22,1,203,1.86,328
201,57297,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,11,2,234,2.14,340
202,57468,Manhattan,40.72821,-73.98701,Entire home/apt,189,333,3,205,1.87,0
203,57618,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,333,3,101,0.98,0
204,57740,Manhattan,40.73012,-73.99053,Entire home/apt,239,13,4,7,0.06,353
205,57754,Manhattan,40.7403,-73.98498,Entire home/apt,305,49,2,114,1.1,314
207,58059,Harlem,40.8251,-73.94287,Private room,60,178,1,491,4.68,286
208,58062,Park Slope,40.6585,-73.98397,Private room,135,150,2,23,0.27,226
209,58467,Roosevelt Island,40.76193,-73.9501,Private room,120,7,7,21,0.34,307
210,59014,Manhattan,40.72052,-73.98589,Entire home/apt,150,27,3,50,0.46,264
211,59121,Queens,40.70411,-73.89934,Entire home/apt,145,0,4,2,0.02,358
212,59855,Manhattan,40.7589,-73.96991,Entire home/apt,250,207,30,82,0.75,0
213,60164,Soho,40.72003,-74.00262,Entire home/apt,500,235,4,103,1.03,354
215,60611,East Harlem,40.79163,-73.94573,Entire home/apt,130,14,28,187,1.78,1
216,60666,Harlem,40.8118,-73.94434,Private room,92,22,1,205,1.89,325
217,60673,Manhattan,40.81583,-73.94707,Private room,175,0,2,3,0.21,365
218,60680,Manhattan,40.72654,-73.98049,Entire home/apt,99,16,4,144,1.32,330
220,60948,East Harlem,40.80942,-73.93936,Entire home/apt,140,130,30,147,1.35,225
223,61492,Lower East Side,40.71445,-73.9908,Private room,125,14,4,178,1.78,350
225,62427,Manhattan,40.7268,-73.99079,Entire home/apt,135,361,4,60,0.59,11
226,62430,Brooklyn,40.688,-73.9171,Entire home/apt,99,289,3,123,2.16,34
227,62452,Staten Island,40.63536,-74.08537,Private room,38,23,2,204,1.87,0
228,62461,West Brighton,40.63627,-74.08543,Private room,38,40,2,155,1.45,354
229,62465,East Village,40.72763,-73.9835,Private room,129,11,5,86,1.33,348
230,62787,West Brighton,40.63518,-74.08546,Private room,37,31,2,190,1.75,348
231,62891,Alphabet City,40.72477,-73.98161,Entire home/apt,175,36,3,194,1.78,257
232,62903,Chelsea,40.74238,-73.99567,Entire home/apt,205,313,6,66,0.71,79
233,62925,Greenpoint,40.72945,-73.95511,Entire home/apt,285,19,3,126,1.18,339
234,63299,Brooklyn,40.70763,-73.95177,Private room,59,344,2,205,1.91,35
235,63320,Staten Island,40.63481,-74.08519,Private room,38,25,2,386,3.53,347
236,63360,Queens,40.75384,-73.91433,Entire home/apt,99,34,5,457,4.43,315
237,63546,Brooklyn,40.64106,-73.97426,Private room,39,0,1,46,0.44,365
240,63610,Eastchester,40.88057,-73.83572,Entire home/apt,105,19,2,41,0.51,347
241,63657,Brooklyn,40.68236,-73.94314,Entire home/apt,135,342,2,266,2.45,3
243,63719,Brooklyn,40.68503,-73.95385,Private room,70,57,3,37,0.4,216
245,64000,Williamsburg,40.7069,-73.95467,Private room,60,1,29,14,0.13,1
247,64107,Brooklyn,40.6778,-73.94339,Private room,100,13,3,304,2.8,354
248,64277,Bedford-Stuyvesant,40.68317,-73.94701,Private room,70,27,4,18,0.21,364
249,64314,Crown Heights,40.6761,-73.9529,Private room,110,0,6,109,1,365
250,64365,Brooklyn,40.67586,-73.95155,Private room,60,29,2,241,2.3,332
251,64837,East Village,40.72321,-73.98157,Private room,68,303,2,211,1.94,21
253,65268,Bedford-Stuyvesant,40.68276,-73.95264,Private room,75,230,5,64,0.64,218
255,65562,East Village,40.72956,-73.98158,Entire home/apt,129,27,7,5,0.13,219
256,65615,Williamsburg,40.71069,-73.95175,Entire home/apt,130,295,10,53,0.49,33
257,65660,Williamsburg,40.70863,-73.94641,Entire home/apt,95,284,4,149,1.37,74
258,65813,Hamilton Heights,40.82888,-73.94307,Private room,75,7,3,20,0.24,337
259,65834,Brooklyn,40.67319,-73.97323,Entire home/apt,175,264,2,11,0.1,7
260,66008,Brooklyn,40.67846,-73.99443,Entire home/apt,190,20,3,59,0.63,322
261,66251,Manhattan,40.72681,-73.98534,Entire home/apt,212,308,3,81,1.44,71
262,66275,Lower East Side,40.71904,-73.99392,Private room,95,27,1,130,1.26,340
263,66718,Harlem,40.81322,-73.95306,Entire home/apt,135,167,6,200,1.9,1
264,66741,Park Slope,40.67732,-73.98225,Entire home/apt,150,64,2,238,2.21,0
265,66974,Brooklyn,40.68076,-73.9896,Entire home/apt,190,77,3,76,0.83,327
267,67288,Harlem,40.79603,-73.94903,Entire home/apt,124,70,28,25,0.28,137
268,67299,Williamsburg,40.71492,-73.96282,Entire home/apt,135,282,30,58,0.55,85
269,67397,Morningside Heights,40.80393,-73.95838,Private room,122,25,3,109,1.04,0
270,68099,Manhattan,40.80082,-73.9652,Private room,109,18,1,112,1.08,365
272,68403,Bedford-Stuyvesant,40.683,-73.91981,Entire home/apt,145,297,3,140,1.32,73
273,68735,Manhattan,40.78971,-73.9729,Entire home/apt,195,41,11,32,0.32,318
274,68765,Brooklyn,40.67817,-73.99495,Entire home/apt,250,120,2,126,1.49,0
275,68974,Chinatown,40.71943,-73.99627,Entire home/apt,575,41,2,209,1.96,329
277,69894,Manhattan,40.78,-73.98249,Entire home/apt,150,335,30,49,0.53,0
278,70095,Manhattan,40.86713,-73.92811,Private room,90,216,2,129,1.29,0
279,70128,Manhattan,40.73198,-73.98881,Private room,65,248,31,53,0.6,0
280,70279,Red Hook,40.67714,-74.0113,Entire home/apt,185,3,14,64,0.61,364
281,70609,East Village,40.72542,-73.97986,Entire home/apt,500,47,2,53,0.5,1
282,71010,Manhattan,40.83494,-73.93869,Entire home/apt,265,12,3,34,0.43,328
283,71248,Manhattan,40.71659,-73.98945,Entire home/apt,125,198,25,46,0.43,93
284,71366,Manhattan,40.72966,-74.00243,Entire home/apt,200,159,30,41,0.44,94
286,71812,Kingsbridge Heights,40.87207,-73.90193,Entire home/apt,92,210,8,6,0.36,186
287,72190,Upper West Side,40.77728,-73.97818,Entire home/apt,110,314,13,38,0.37,0
288,72265,Greenpoint,40.72646,-73.95341,Private room,59,304,3,32,0.38,73
289,74073,Brooklyn,40.71015,-73.96101,Entire home/apt,195,305,3,81,0.79,136
290,74240,Brooklyn,40.71903,-73.9597,Entire home/apt,169,115,1,69,0.65,82
292,74680,Queens,40.77635,-73.93426,Entire home/apt,115,41,2,219,2.12,0
295,75193,Brooklyn,40.71398,-73.95763,Private room,69,317,2,244,2.29,0
296,75635,Lower East Side,40.71876,-73.98394,Entire home/apt,150,174,3,311,2.91,1
297,76761,Park Slope,40.66552,-73.99019,Entire home/apt,169,211,2,420,3.99,0
298,77765,Brooklyn,40.73749,-73.95292,Hotel room,179,9,3,38,0.36,19
299,77936,Manhattan,40.76248,-73.9913,Private room,150,296,3,46,0.44,150
301,79782,Williamsburg,40.70495,-73.95436,Private room,120,10,20,80,0.76,265
302,80493,East Village,40.72329,-73.98486,Private room,75,139,2,192,1.82,327
303,80684,Greenpoint,40.73776,-73.95327,Hotel room,349,9,3,8,0.08,17
304,80700,Greenpoint,40.73738,-73.95482,Private room,349,6,3,7,0.07,22
305,80924,Brooklyn,40.67542,-73.98142,Entire home/apt,165,84,30,35,0.49,291
306,81739,Brooklyn,40.73842,-73.95312,Private room,249,9,3,2,0.02,22
308,82550,Brooklyn,40.69441,-73.99771,Entire home/apt,200,245,3,90,0.91,88
309,82638,Alphabet City,40.72399,-73.98374,Entire home/apt,169,55,3,258,2.46,321
310,82928,Brooklyn,40.6824,-73.94615,Entire home/apt,185,26,3,66,1.38,300
312,83446,Brooklyn,40.68819,-73.97258,Entire home/apt,130,257,35,6,0.06,0
313,83847,Alphabet City,40.72451,-73.98094,Entire home/apt,225,358,2,36,0.34,72
314,84010,Brooklyn,40.73813,-73.95394,Hotel room,179,9,3,16,0.16,22
316,84659,East Village,40.72843,-73.98895,Entire home/apt,159,314,1,416,3.96,200
317,84905,Manhattan,40.71271,-73.99776,Private room,95,290,3,239,2.27,69
318,85094,Crown Heights,40.66966,-73.94735,Entire home/apt,79,219,15,12,0.11,150
319,86215,Lower East Side,40.71965,-73.98766,Entire home/apt,199,200,2,162,1.54,137
320,87279,Manhattan,40.80783,-73.93878,Private room,69,18,1,127,1.21,356
321,89621,Bedford-Stuyvesant,40.68048,-73.94911,Entire home/apt,90,13,3,234,2.31,354
322,93313,Bedford-Stuyvesant,40.68314,-73.93963,Entire home/apt,120,51,2,88,0.84,312
323,94035,Queens,40.75961,-73.91117,Private room,80,15,1,48,1.2,356
325,94477,Bedford-Stuyvesant,40.69305,-73.93185,Entire home/apt,175,92,2,395,3.8,157
326,94783,Brooklyn,40.67174,-73.95663,Entire home/apt,120,20,5,108,1.03,337
327,95747,Williamsburg,40.71055,-73.95098,Entire home/apt,140,27,7,13,0.12,63
328,95883,Bedford-Stuyvesant,40.69465,-73.95458,Entire home/apt,200,361,5,5,0.08,157
329,96471,Clinton Hill,40.68413,-73.96542,Private room,165,4,4,12,0.12,356
330,98663,Manhattan,40.74893,-73.99544,Entire home/apt,130,146,30,19,0.19,0
331,99070,Harlem,40.79406,-73.94102,Shared room,65,203,7,133,1.27,146
333,100002,Manhattan,40.85295,-73.93361,Private room,67,21,2,148,1.42,0
335,100186,Gowanus,40.66918,-73.99187,Entire home/apt,130,176,5,100,0.97,61
336,100368,Manhattan,40.7395,-74.00123,Entire home/apt,279,56,31,32,0.31,95
337,101053,Brooklyn,40.71125,-73.95613,Entire home/apt,100,356,5,33,0.32,10
338,102995,Upper West Side,40.78558,-73.9696,Entire home/apt,212,342,21,45,0.43,3
339,103161,Brooklyn,40.71577,-73.96053,Entire home/apt,250,3,3,132,1.75,343
340,103311,Brooklyn,40.73861,-73.95485,Private room,599,9,3,9,0.09,0
341,103806,Manhattan,40.72577,-73.98745,Entire home/apt,249,14,5,171,1.65,356
342,105469,The Rockaways,40.58615,-73.81245,Private room,70,2,3,14,0.13,364
343,105510,Brooklyn,40.67086,-73.94872,Entire home/apt,100,30,30,16,0.16,365
344,106363,Manhattan,40.82773,-73.95231,Private room,60,101,3,404,3.88,1
345,106647,Clinton Hill,40.68505,-73.95684,Entire home/apt,135,177,2,94,0.9,6
346,107630,Brooklyn,40.72911,-73.95493,Entire home/apt,175,23,3,263,2.55,0
347,107895,Upper West Side,40.77944,-73.98567,Entire home/apt,120,232,5,55,0.59,117
350,112359,Upper East Side,40.78491,-73.9508,Entire home/apt,225,75,2,58,0.56,337
351,112435,Fort Greene,40.69088,-73.97307,Private room,95,15,2,172,1.66,335
352,113265,Crown Heights,40.67555,-73.95057,Private room,55,62,2,265,2.56,0
355,114229,Lower East Side,40.71895,-73.99434,Entire home/apt,211,0,1,67,0.73,1
356,114969,Midtown East,40.75579,-73.96699,Entire home/apt,145,355,6,39,0.38,0
357,115535,Harlem,40.82399,-73.95328,Private room,65,54,14,37,0.36,252
358,115678,Harlem,40.81822,-73.94095,Entire home/apt,99,85,1,340,3.27,284
361,116940,Brooklyn,40.67705,-73.94925,Entire home/apt,80,18,3,241,2.32,0
362,117425,Brooklyn,40.69263,-73.99438,Entire home/apt,175,9,14,95,0.91,278
363,118061,Brooklyn,40.68448,-73.92747,Entire home/apt,102,52,4,79,0.8,326
366,121687,Brooklyn,40.72063,-73.95952,Entire home/apt,200,354,2,50,0.51,42
367,121861,Brooklyn,40.67644,-73.98082,Entire home/apt,165,269,2,23,0.22,16
368,123784,Harlem,40.80481,-73.94794,Entire home/apt,110,25,2,159,1.53,347
369,125053,East Village,40.72533,-73.99143,Entire home/apt,395,202,2,79,0.79,150
370,125163,Brooklyn,40.68569,-73.93038,Private room,99,42,2,38,0.5,357
371,125594,Brooklyn,40.64302,-73.97255,Private room,39,6,1,85,0.92,365
372,126443,East Village,40.72939,-73.98857,Entire home/apt,189,50,2,432,4.18,201
374,127387,Gowanus,40.66862,-73.9926,Entire home/apt,260,207,30,3,0.03,314
375,128975,Manhattan,40.81333,-73.94453,Entire home/apt,122,45,1,122,1.18,344
376,130439,Hamilton Heights,40.82907,-73.94446,Private room,59,77,1,7,0.08,350
377,131154,Greenpoint,40.72473,-73.95199,Entire home/apt,165,249,2,191,1.86,0
378,132516,Forest Hills,40.70925,-73.85262,Entire home/apt,97,126,3,31,1.1,185
379,132570,Manhattan,40.73215,-74.00922,Entire home/apt,170,221,4,24,0.24,0
380,132661,Hell's Kitchen,40.75505,-73.99187,Private room,76,343,12,71,1.15,19
382,133025,Midtown East,40.7463,-73.97926,Private room,130,202,4,118,1.14,82
383,134934,Williamsburg,40.71823,-73.95849,Entire home/apt,225,328,7,26,0.41,129
384,135393,Brooklyn,40.651,-73.94886,Private room,50,213,2,282,2.75,154
385,135465,Fort Greene,40.68626,-73.97598,Entire home/apt,170,53,3,98,0.99,160
390,139624,Crown Heights,40.67456,-73.95151,Entire home/apt,64,310,21,74,0.74,52
391,140133,Brooklyn,40.71363,-73.96019,Entire home/apt,249,18,3,166,1.63,225
393,140973,Manhattan,40.72274,-73.97581,Entire home/apt,185,22,2,75,0.73,0
