temperature,rainfall,humidity,yield_apples2
50.00,56.00,51.00,51.70
83.00,68.00,90.00,83.50
41.00,65.00,52.00,51.30
48.00,58.00,58.00,55.00
57.00,58.00,45.00,51.20
95.00,62.00,41.00,61.40
69.00,50.00,73.00,67.20
63.00,63.00,60.00,61.50
96.00,70.00,58.00,71.80
97.00,58.00,76.00,78.70
64.00,54.00,49.00,54.50
87.00,97.00,79.00,85.00
70.00,86.00,44.00,60.20
78.00,74.00,72.00,74.20
74.00,79.00,43.00,59.50
87.00,92.00,74.00,81.50
71.00,59.00,41.00,53.60
88.00,60.00,58.00,67.40
67.00,49.00,97.00,78.40
49.00,92.00,77.00,71.60
85.00,75.00,46.00,63.50
95.00,55.00,56.00,67.50
83.00,66.00,50.00,63.10
64.00,56.00,43.00,51.90
72.00,68.00,53.00,61.70
80.00,63.00,73.00,73.10
74.00,85.00,67.00,72.70
64.00,50.00,56.00,57.20
52.00,90.00,65.00,66.10
84.00,78.00,68.00,74.80
62.00,40.00,64.00,58.60
72.00,59.00,68.00,67.40
71.00,49.00,49.00,55.60
82.00,82.00,52.00,67.00
97.00,76.00,55.00,71.80
43.00,40.00,53.00,47.40
60.00,54.00,84.00,70.80
46.00,82.00,59.00,59.70
44.00,53.00,53.00,50.30
56.00,57.00,59.00,57.70
84.00,43.00,71.00,69.30
60.00,58.00,95.00,77.10
95.00,83.00,60.00,75.10
81.00,69.00,83.00,79.60
57.00,58.00,53.00,55.20
74.00,63.00,92.00,80.80
97.00,59.00,76.00,78.90
45.00,63.00,71.00,61.60
75.00,72.00,61.00,67.40
53.00,57.00,91.00,72.80
88.00,79.00,98.00,91.20
44.00,58.00,54.00,51.80
61.00,52.00,91.00,74.20
71.00,77.00,46.00,59.70
62.00,50.00,64.00,60.60
87.00,77.00,54.00,68.50
77.00,43.00,97.00,80.20
88.00,54.00,82.00,78.20
81.00,53.00,87.00,78.40
41.00,96.00,64.00,63.50
97.00,88.00,93.00,93.20
52.00,81.00,64.00,63.80
80.00,69.00,63.00,69.30
78.00,77.00,55.00,66.30
86.00,80.00,70.00,76.80
87.00,88.00,91.00,89.20
73.00,40.00,51.00,55.40
82.00,48.00,51.00,59.70
41.00,73.00,40.00,46.90
57.00,71.00,82.00,72.30
65.00,79.00,92.00,81.30
84.00,98.00,85.00,87.30
71.00,45.00,83.00,71.80
84.00,46.00,56.00,62.40
58.00,96.00,66.00,69.60
63.00,84.00,62.00,66.70
72.00,59.00,41.00,53.90
59.00,95.00,77.00,75.20
90.00,54.00,89.00,82.30
79.00,49.00,86.00,76.50
92.00,54.00,52.00,64.40
55.00,49.00,41.00,46.80
80.00,63.00,65.00,69.10
75.00,57.00,43.00,55.40
44.00,75.00,42.00,49.20
42.00,82.00,72.00,65.00
64.00,71.00,86.00,76.40
89.00,51.00,98.00,85.90
96.00,82.00,43.00,66.70
89.00,56.00,49.00,62.40
57.00,92.00,94.00,82.50
84.00,49.00,49.00,59.50
75.00,81.00,84.00,80.70
62.00,89.00,90.00,81.40
55.00,74.00,95.00,78.80
81.00,46.00,80.00,73.50
49.00,66.00,74.00,64.90
52.00,72.00,83.00,71.50
65.00,44.00,87.00,71.80
57.00,64.00,96.00,77.90
77.00,40.00,96.00,79.10
92.00,57.00,75.00,76.50
52.00,43.00,79.00,63.70
49.00,42.00,80.00,63.10
40.00,96.00,87.00,74.70
98.00,64.00,80.00,82.20
51.00,44.00,90.00,69.10
71.00,47.00,95.00,78.20
94.00,46.00,61.00,67.90
50.00,45.00,50.00,49.00
41.00,64.00,56.00,53.10
87.00,45.00,83.00,76.60
85.00,40.00,49.00,58.00
98.00,72.00,46.00,66.80
43.00,43.00,55.00,49.00
56.00,73.00,79.00,70.90
46.00,70.00,98.00,76.80
69.00,49.00,83.00,72.00
54.00,70.00,69.00,64.70
72.00,41.00,48.00,53.80
41.00,63.00,95.00,72.40
43.00,52.00,77.00,61.80
76.00,80.00,45.00,61.30
59.00,52.00,57.00,56.60
81.00,68.00,64.00,69.90
84.00,42.00,68.00,67.60
70.00,57.00,89.00,76.90
48.00,56.00,93.00,72.10
91.00,79.00,50.00,68.10
83.00,80.00,41.00,61.40
64.00,69.00,67.00,66.50
49.00,80.00,50.00,55.70
58.00,86.00,56.00,62.60
83.00,91.00,44.00,65.10
86.00,90.00,49.00,68.30
78.00,80.00,45.00,61.90
53.00,45.00,88.00,68.90
59.00,63.00,41.00,50.80
67.00,72.00,75.00,72.00
63.00,48.00,77.00,67.00
80.00,84.00,55.00,68.30
62.00,68.00,48.00,56.20
72.00,67.00,42.00,56.00
80.00,84.00,51.00,66.30
64.00,61.00,43.00,52.90
79.00,96.00,71.00,78.40
74.00,56.00,54.00,60.40
46.00,66.00,92.00,73.00
89.00,65.00,68.00,73.70
52.00,96.00,41.00,55.30
89.00,94.00,92.00,91.50
63.00,73.00,51.00,59.00
62.00,80.00,45.00,57.10
49.00,97.00,72.00,70.10
50.00,95.00,76.00,72.00
41.00,74.00,90.00,72.10
91.00,81.00,61.00,74.00
43.00,60.00,57.00,53.40
40.00,57.00,45.00,45.90
91.00,68.00,48.00,64.90
55.00,55.00,88.00,71.50
58.00,80.00,62.00,64.40
65.00,52.00,55.00,57.40
65.00,65.00,91.00,78.00
80.00,62.00,56.00,64.40
57.00,60.00,71.00,64.60
81.00,61.00,60.00,66.50
89.00,98.00,66.00,79.30
46.00,57.00,57.00,53.70
52.00,76.00,49.00,55.30
75.00,88.00,55.00,67.60
82.00,72.00,90.00,84.00
62.00,82.00,62.00,66.00
82.00,54.00,70.00,70.40
50.00,41.00,75.00,60.70
49.00,91.00,96.00,80.90
67.00,83.00,57.00,65.20
74.00,98.00,65.00,74.30
69.00,76.00,89.00,80.40
52.00,93.00,75.00,71.70
89.00,85.00,65.00,76.20
52.00,68.00,92.00,75.20
65.00,89.00,61.00,67.80
68.00,50.00,43.00,51.90
68.00,41.00,75.00,66.10
58.00,88.00,88.00,79.00
51.00,78.00,42.00,51.90
72.00,84.00,67.00,71.90
78.00,54.00,58.00,63.20
67.00,79.00,60.00,65.90
45.00,65.00,69.00,61.00
92.00,70.00,59.00,71.10
78.00,63.00,83.00,77.50
83.00,44.00,43.00,55.20
78.00,54.00,60.00,64.20
51.00,74.00,95.00,77.60
47.00,69.00,62.00,58.90
98.00,76.00,46.00,67.60
72.00,57.00,78.00,72.00
75.00,89.00,53.00,66.80
55.00,69.00,78.00,69.30
68.00,60.00,62.00,63.40
42.00,62.00,83.00,66.50
86.00,88.00,73.00,79.90
61.00,58.00,76.00,67.90
79.00,49.00,51.00,59.00
86.00,68.00,55.00,66.90
60.00,84.00,59.00,64.30
40.00,63.00,57.00,53.10
95.00,89.00,71.00,81.80
87.00,50.00,83.00,77.60
41.00,61.00,94.00,71.50
52.00,40.00,88.00,67.60
94.00,46.00,46.00,60.40
88.00,70.00,42.00,61.40
94.00,86.00,72.00,81.40
91.00,74.00,68.00,76.10
68.00,67.00,57.00,62.30
80.00,65.00,47.00,60.50
86.00,52.00,41.00,56.70
69.00,64.00,53.00,60.00
95.00,78.00,41.00,64.60
80.00,83.00,71.00,76.10
59.00,44.00,67.00,60.00
84.00,96.00,49.00,68.90
75.00,77.00,88.00,81.90
77.00,78.00,68.00,72.70
63.00,43.00,88.00,71.50
85.00,71.00,45.00,62.20
95.00,40.00,55.00,64.00
42.00,71.00,74.00,63.80
93.00,74.00,40.00,62.70
65.00,40.00,74.00,64.50
98.00,66.00,98.00,91.60
53.00,87.00,74.00,70.30
95.00,46.00,93.00,84.20
81.00,77.00,52.00,65.70
80.00,58.00,91.00,81.10
77.00,45.00,85.00,74.60
86.00,94.00,98.00,93.60
41.00,89.00,78.00,69.10
79.00,85.00,84.00,82.70
83.00,71.00,48.00,63.10
69.00,44.00,98.00,78.50
93.00,92.00,46.00,69.30
62.00,63.00,66.00,64.20
95.00,71.00,63.00,74.20
43.00,70.00,69.00,61.40
77.00,59.00,83.00,76.40
85.00,58.00,94.00,84.10
88.00,93.00,68.00,79.00
97.00,60.00,70.00,76.10
82.00,83.00,56.00,69.20
57.00,89.00,60.00,64.90
40.00,76.00,66.00,60.20
61.00,90.00,56.00,64.30
51.00,56.00,90.00,71.50
92.00,72.00,64.00,74.00
53.00,74.00,40.00,50.70
80.00,43.00,87.00,76.10
47.00,87.00,91.00,77.00
59.00,50.00,54.00,54.70
71.00,78.00,56.00,64.90
98.00,98.00,94.00,96.00
95.00,85.00,85.00,88.00
56.00,57.00,81.00,68.70
79.00,48.00,85.00,75.80
57.00,85.00,64.00,66.10
53.00,54.00,89.00,71.20
97.00,65.00,46.00,65.10
71.00,68.00,48.00,58.90
74.00,55.00,88.00,77.20
79.00,46.00,50.00,57.90
54.00,52.00,79.00,66.10
75.00,96.00,60.00,71.70
84.00,83.00,86.00,84.80
67.00,97.00,47.00,63.00
41.00,87.00,65.00,62.20
93.00,98.00,79.00,87.00
98.00,69.00,42.00,64.20
61.00,47.00,73.00,64.20
59.00,55.00,93.00,75.20
53.00,81.00,55.00,59.60
86.00,62.00,96.00,86.20
52.00,54.00,91.00,71.90
42.00,81.00,50.00,53.80
82.00,82.00,88.00,85.00
47.00,68.00,69.00,62.20
92.00,74.00,91.00,87.90
66.00,90.00,77.00,76.30
84.00,66.00,40.00,58.40
62.00,55.00,90.00,74.60
49.00,90.00,83.00,74.20
48.00,46.00,58.00,52.60
95.00,82.00,63.00,76.40
63.00,58.00,51.00,56.00
82.00,53.00,65.00,67.70
91.00,86.00,65.00,77.00
57.00,79.00,88.00,76.90
81.00,89.00,62.00,73.10
44.00,86.00,98.00,79.40
73.00,86.00,43.00,60.60
59.00,83.00,71.00,69.80
58.00,84.00,80.00,74.20
56.00,62.00,55.00,56.70
86.00,75.00,84.00,82.80
59.00,81.00,47.00,57.40
64.00,81.00,42.00,56.40
66.00,58.00,70.00,66.40
43.00,68.00,62.00,57.50
75.00,73.00,67.00,70.60
97.00,59.00,43.00,62.40
43.00,81.00,43.00,50.60
50.00,51.00,55.00,52.70
42.00,61.00,84.00,66.80
90.00,88.00,67.00,78.10
94.00,41.00,50.00,61.40
55.00,94.00,84.00,77.30
52.00,69.00,67.00,62.90
73.00,97.00,74.00,78.30
68.00,90.00,65.00,70.90
80.00,52.00,60.00,64.40
71.00,95.00,55.00,67.80
67.00,78.00,65.00,68.20
95.00,84.00,89.00,89.80
69.00,54.00,94.00,78.50
56.00,42.00,46.00,48.20
93.00,43.00,84.00,78.50
86.00,92.00,41.00,64.70
65.00,90.00,86.00,80.50
51.00,93.00,63.00,65.40
49.00,75.00,50.00,54.70
42.00,78.00,68.00,62.20
55.00,60.00,56.00,56.50
91.00,95.00,86.00,89.30
87.00,68.00,71.00,75.20
98.00,55.00,52.00,66.40
86.00,97.00,48.00,69.20
64.00,67.00,56.00,60.60
75.00,61.00,49.00,59.20
71.00,61.00,46.00,56.50
95.00,78.00,95.00,91.60
50.00,80.00,51.00,56.50
70.00,60.00,59.00,62.50
54.00,62.00,48.00,52.60
59.00,53.00,55.00,55.80
56.00,90.00,80.00,74.80
93.00,63.00,71.00,76.00
98.00,70.00,52.00,69.40
92.00,44.00,90.00,81.40
94.00,98.00,85.00,90.30
40.00,84.00,53.00,55.30
59.00,68.00,53.00,57.80
72.00,64.00,59.00,63.90
81.00,58.00,73.00,72.40
84.00,77.00,72.00,76.60
82.00,82.00,54.00,68.00
62.00,76.00,86.00,76.80
64.00,83.00,75.00,73.30
69.00,49.00,94.00,77.50
96.00,71.00,82.00,84.00
51.00,41.00,76.00,61.50
53.00,60.00,57.00,56.40
59.00,94.00,82.00,77.50
90.00,54.00,50.00,62.80
65.00,65.00,91.00,78.00
48.00,96.00,85.00,76.10
67.00,97.00,73.00,76.00
74.00,55.00,57.00,61.70
98.00,57.00,41.00,61.30
42.00,72.00,49.00,51.50
94.00,50.00,42.00,59.20
72.00,45.00,88.00,74.60
88.00,68.00,49.00,64.50
83.00,62.00,51.00,62.80
93.00,71.00,50.00,67.10
97.00,68.00,62.00,73.70
49.00,80.00,78.00,69.70
73.00,63.00,72.00,70.50
81.00,50.00,77.00,72.80
59.00,98.00,87.00,80.80
77.00,41.00,75.00,68.80
79.00,65.00,79.00,76.20
98.00,71.00,77.00,82.10
85.00,45.00,96.00,82.50
80.00,50.00,80.00,74.00
67.00,66.00,80.00,73.30
77.00,47.00,64.00,64.50
91.00,94.00,96.00,94.10
80.00,81.00,60.00,70.20
89.00,67.00,82.00,81.10
45.00,81.00,46.00,52.70
79.00,80.00,91.00,85.20
96.00,59.00,91.00,86.10
43.00,46.00,91.00,67.60
79.00,66.00,78.00,75.90
91.00,70.00,48.00,65.30
74.00,79.00,64.00,70.00
47.00,91.00,43.00,53.80
64.00,93.00,54.00,64.80
50.00,46.00,84.00,66.20
64.00,54.00,67.00,63.50
69.00,56.00,92.00,77.90
51.00,66.00,91.00,74.00
98.00,43.00,56.00,66.00
45.00,63.00,71.00,61.60
59.00,43.00,45.00,48.80
46.00,48.00,87.00,66.90
71.00,61.00,42.00,54.50
51.00,81.00,90.00,76.50
79.00,63.00,96.00,84.30
41.00,50.00,57.00,50.80
40.00,82.00,87.00,71.90
56.00,52.00,43.00,48.70
75.00,42.00,50.00,55.90
55.00,95.00,51.00,61.00
79.00,63.00,75.00,73.80
67.00,85.00,61.00,67.60
40.00,72.00,53.00,52.90
81.00,98.00,54.00,70.90
72.00,69.00,61.00,65.90
62.00,84.00,58.00,64.40
58.00,40.00,46.00,48.40
42.00,52.00,92.00,69.00
70.00,92.00,56.00,67.40
80.00,67.00,93.00,83.90
93.00,87.00,43.00,66.80
73.00,69.00,90.00,80.70
42.00,42.00,71.00,56.50
73.00,54.00,45.00,55.20
49.00,41.00,92.00,68.90
44.00,94.00,55.00,59.50
57.00,74.00,54.00,58.90
92.00,95.00,70.00,81.60
44.00,52.00,51.00,49.10
89.00,66.00,70.00,74.90
63.00,81.00,62.00,66.10
73.00,73.00,49.00,61.00
48.00,55.00,42.00,46.40
60.00,71.00,77.00,70.70
86.00,97.00,87.00,88.70
47.00,95.00,71.00,68.60
60.00,86.00,78.00,74.20
51.00,79.00,72.00,67.10
94.00,43.00,46.00,59.80
64.00,74.00,74.00,71.00
70.00,72.00,88.00,79.40
61.00,53.00,44.00,50.90
43.00,80.00,74.00,65.90
71.00,61.00,75.00,71.00
92.00,62.00,70.00,75.00
77.00,72.00,77.00,76.00
95.00,54.00,64.00,71.30
48.00,57.00,50.00,50.80
55.00,65.00,61.00,60.00
86.00,98.00,56.00,73.40
95.00,89.00,54.00,73.30
40.00,52.00,67.00,55.90
70.00,90.00,45.00,61.50
92.00,54.00,74.00,75.40
54.00,50.00,53.00,52.70
78.00,53.00,70.00,69.00
86.00,43.00,65.00,66.90
82.00,40.00,42.00,53.60
79.00,46.00,42.00,53.90
85.00,92.00,45.00,66.40
57.00,92.00,60.00,65.50
53.00,42.00,91.00,69.80
88.00,82.00,52.00,68.80
55.00,87.00,56.00,61.90
93.00,97.00,41.00,67.80
63.00,80.00,42.00,55.90
59.00,51.00,71.00,63.40
64.00,71.00,48.00,57.40
82.00,77.00,91.00,85.50
84.00,41.00,44.00,55.40
48.00,92.00,82.00,73.80
81.00,50.00,49.00,58.80
56.00,67.00,79.00,69.70
57.00,77.00,98.00,81.50
59.00,97.00,90.00,82.10
91.00,54.00,44.00,60.10
84.00,84.00,88.00,86.00
66.00,67.00,66.00,66.20
58.00,81.00,47.00,57.10
45.00,47.00,84.00,64.90
89.00,94.00,73.00,82.00
77.00,80.00,77.00,77.60
48.00,94.00,53.00,59.70
94.00,60.00,94.00,87.20
62.00,89.00,54.00,63.40
59.00,71.00,53.00,58.40
69.00,46.00,50.00,54.90
87.00,46.00,68.00,69.30
79.00,55.00,96.00,82.70
78.00,95.00,69.00,76.90
74.00,83.00,81.00,79.30
64.00,93.00,48.00,61.80
87.00,64.00,75.00,76.40
49.00,90.00,79.00,72.20
48.00,40.00,49.00,46.90
49.00,97.00,92.00,80.10
78.00,88.00,72.00,77.00
84.00,49.00,74.00,72.00
84.00,52.00,97.00,84.10
50.00,72.00,96.00,77.40
60.00,45.00,91.00,72.50
43.00,49.00,88.00,66.70
77.00,68.00,82.00,77.70
70.00,53.00,64.00,63.60
75.00,86.00,82.00,80.70
86.00,57.00,85.00,79.70
96.00,95.00,91.00,93.30
57.00,47.00,67.00,60.00
96.00,53.00,76.00,77.40
84.00,82.00,92.00,87.60
88.00,74.00,95.00,88.70
77.00,95.00,70.00,77.10
63.00,92.00,46.00,60.30
58.00,94.00,96.00,84.20
49.00,73.00,66.00,62.30
55.00,71.00,96.00,78.70
43.00,97.00,67.00,65.80
64.00,62.00,47.00,55.10
93.00,68.00,61.00,72.00
64.00,74.00,82.00,75.00
52.00,90.00,72.00,69.60
49.00,62.00,74.00,64.10
40.00,76.00,79.00,66.70
60.00,93.00,56.00,64.60
61.00,70.00,79.00,71.80
40.00,86.00,70.00,64.20
40.00,42.00,42.00,41.40
74.00,68.00,63.00,67.30
59.00,41.00,90.00,70.90
45.00,83.00,64.00,62.10
80.00,54.00,71.00,70.30
93.00,61.00,65.00,72.60
84.00,60.00,51.00,62.70
61.00,49.00,90.00,73.10
76.00,61.00,43.00,56.50
60.00,98.00,84.00,79.60
53.00,86.00,86.00,76.10
43.00,77.00,66.00,61.30
71.00,75.00,44.00,58.30
81.00,59.00,88.00,80.10
50.00,61.00,88.00,71.20
91.00,82.00,65.00,76.20
71.00,61.00,90.00,78.50
47.00,55.00,44.00,47.10
96.00,44.00,96.00,85.60
92.00,41.00,77.00,74.30
88.00,44.00,93.00,81.70
42.00,94.00,63.00,62.90
48.00,85.00,80.00,71.40
54.00,95.00,78.00,74.20
86.00,74.00,66.00,73.60
96.00,58.00,46.00,63.40
59.00,87.00,88.00,79.10
70.00,81.00,87.00,80.70
84.00,84.00,92.00,88.00
47.00,46.00,50.00,48.30
71.00,78.00,70.00,71.90
60.00,67.00,62.00,62.40
57.00,78.00,41.00,53.20
51.00,62.00,56.00,55.70
40.00,89.00,68.00,63.80
58.00,54.00,50.00,53.20
66.00,47.00,50.00,54.20
55.00,50.00,60.00,56.50
62.00,76.00,97.00,82.30
66.00,68.00,91.00,78.90
88.00,97.00,87.00,89.30
71.00,91.00,80.00,79.50
51.00,73.00,59.00,59.40
91.00,84.00,43.00,65.60
59.00,47.00,60.00,57.10
76.00,49.00,71.00,68.10
54.00,62.00,83.00,70.10
75.00,76.00,42.00,58.70
64.00,81.00,75.00,72.90
83.00,95.00,48.00,67.90
58.00,80.00,85.00,75.90
70.00,97.00,40.00,60.40
67.00,50.00,76.00,68.10
72.00,98.00,93.00,87.70
77.00,48.00,98.00,81.70
69.00,71.00,97.00,83.40
51.00,81.00,45.00,54.00
44.00,70.00,75.00,64.70
71.00,74.00,51.00,61.60
58.00,96.00,62.00,67.60
43.00,91.00,70.00,66.10
88.00,45.00,78.00,74.40
62.00,72.00,89.00,77.50
44.00,46.00,79.00,61.90
81.00,96.00,53.00,70.00
97.00,68.00,92.00,88.70
71.00,97.00,98.00,89.70
91.00,54.00,66.00,71.10
90.00,82.00,43.00,64.90
59.00,86.00,73.00,71.40
40.00,78.00,68.00,61.60
91.00,93.00,64.00,77.90
73.00,62.00,59.00,63.80
47.00,53.00,54.00,51.70
93.00,45.00,92.00,82.90
54.00,66.00,52.00,55.40
86.00,67.00,61.00,69.70
86.00,72.00,40.00,60.20
56.00,67.00,61.00,60.70
67.00,56.00,51.00,56.80
76.00,62.00,98.00,84.20
41.00,98.00,87.00,75.40
66.00,50.00,72.00,65.80
82.00,83.00,61.00,71.70
78.00,71.00,84.00,79.60
77.00,55.00,74.00,71.10
80.00,98.00,78.00,82.60
83.00,98.00,83.00,86.00
45.00,52.00,77.00,62.40
58.00,83.00,56.00,62.00
61.00,77.00,73.00,70.20
92.00,90.00,82.00,86.60
71.00,68.00,84.00,76.90
88.00,91.00,93.00,91.10
91.00,82.00,72.00,79.70
51.00,69.00,62.00,60.10
56.00,97.00,76.00,74.20
51.00,69.00,78.00,68.10
98.00,81.00,75.00,83.10
49.00,46.00,44.00,45.90
83.00,85.00,70.00,76.90
90.00,49.00,86.00,79.80
41.00,98.00,48.00,55.90
71.00,45.00,93.00,76.80
61.00,79.00,76.00,72.10
57.00,66.00,89.00,74.80
84.00,63.00,49.00,62.30
94.00,58.00,65.00,72.30
54.00,45.00,78.00,64.20
41.00,85.00,97.00,77.80
45.00,80.00,46.00,52.50
47.00,80.00,56.00,58.10
88.00,65.00,69.00,73.90
51.00,49.00,78.00,64.10
69.00,70.00,54.00,61.70
49.00,66.00,73.00,64.40
92.00,75.00,83.00,84.10
69.00,48.00,66.00,63.30
52.00,72.00,47.00,53.50
61.00,49.00,77.00,66.60
45.00,72.00,56.00,55.90
40.00,42.00,50.00,45.40
45.00,70.00,80.00,67.50
63.00,53.00,64.00,61.50
85.00,58.00,64.00,69.10
90.00,62.00,80.00,79.40
63.00,49.00,57.00,57.20
85.00,47.00,42.00,55.90
75.00,48.00,66.00,65.10
54.00,84.00,50.00,58.00
67.00,80.00,77.00,74.60
63.00,86.00,78.00,75.10
94.00,52.00,72.00,74.60
79.00,53.00,77.00,72.80
87.00,58.00,66.00,70.70
90.00,71.00,82.00,82.20
78.00,75.00,56.00,66.40
95.00,89.00,82.00,87.30
62.00,46.00,80.00,67.80
63.00,75.00,42.00,54.90
55.00,69.00,96.00,78.30
80.00,64.00,98.00,85.80
52.00,91.00,63.00,65.30
89.00,81.00,92.00,88.90
85.00,85.00,79.00,82.00
87.00,44.00,80.00,74.90
47.00,93.00,74.00,69.70
63.00,45.00,50.00,52.90
86.00,63.00,76.00,76.40
77.00,52.00,75.00,71.00
64.00,42.00,64.00,59.60
79.00,74.00,69.00,73.00
96.00,46.00,82.00,79.00
40.00,67.00,97.00,73.90
55.00,65.00,79.00,69.00
96.00,95.00,44.00,69.80
95.00,46.00,73.00,74.20
72.00,67.00,91.00,80.50
69.00,97.00,67.00,73.60
73.00,81.00,45.00,60.60
40.00,86.00,85.00,71.70
85.00,79.00,46.00,64.30
84.00,59.00,61.00,67.50
53.00,68.00,72.00,65.50
48.00,70.00,49.00,52.90
86.00,57.00,89.00,81.70
91.00,59.00,61.00,69.60
67.00,74.00,71.00,70.40
63.00,81.00,49.00,59.60
93.00,41.00,44.00,58.10
86.00,42.00,61.00,64.70
56.00,83.00,56.00,61.40
43.00,92.00,89.00,75.80
47.00,98.00,71.00,69.20
53.00,60.00,41.00,48.40
91.00,68.00,58.00,69.90
86.00,65.00,75.00,76.30
82.00,72.00,49.00,63.50
82.00,65.00,85.00,80.10
40.00,75.00,40.00,47.00
75.00,84.00,72.00,75.30
43.00,76.00,52.00,54.10
43.00,50.00,64.00,54.90
82.00,93.00,57.00,71.70
40.00,86.00,45.00,51.70
77.00,82.00,66.00,72.50
85.00,47.00,98.00,83.90
65.00,82.00,57.00,64.40
55.00,81.00,86.00,75.70
85.00,85.00,55.00,70.00
68.00,45.00,59.00,58.90
43.00,78.00,98.00,77.50
43.00,95.00,54.00,58.90
84.00,45.00,49.00,58.70
56.00,82.00,47.00,56.70
63.00,93.00,54.00,64.50
67.00,85.00,70.00,72.10
46.00,45.00,78.00,61.80
89.00,87.00,55.00,71.60
76.00,40.00,93.00,77.30
48.00,49.00,60.00,54.20
70.00,73.00,98.00,84.60
93.00,66.00,78.00,80.10
94.00,76.00,46.00,66.40
79.00,61.00,93.00,82.40
48.00,80.00,51.00,55.90
73.00,53.00,54.00,59.50
64.00,48.00,42.00,49.80
84.00,44.00,59.00,63.50
98.00,56.00,91.00,86.10
61.00,97.00,68.00,71.70
69.00,88.00,66.00,71.30
46.00,57.00,56.00,53.20
46.00,62.00,95.00,73.70
88.00,65.00,78.00,78.40
78.00,59.00,92.00,81.20
77.00,42.00,57.00,60.00
56.00,46.00,91.00,71.50
43.00,53.00,59.00,53.00
83.00,89.00,94.00,89.70
59.00,94.00,55.00,64.00
71.00,95.00,89.00,84.80
61.00,90.00,53.00,62.80
93.00,51.00,93.00,84.60
66.00,70.00,79.00,73.30
85.00,84.00,59.00,71.80
95.00,55.00,78.00,78.50
48.00,52.00,44.00,46.80
85.00,78.00,65.00,73.60
45.00,85.00,47.00,54.00
82.00,67.00,51.00,63.50
46.00,40.00,56.00,49.80
96.00,76.00,58.00,73.00
87.00,75.00,60.00,71.10
71.00,88.00,91.00,84.40
75.00,86.00,88.00,83.70
59.00,63.00,88.00,74.30
79.00,66.00,44.00,58.90
52.00,55.00,40.00,46.60
58.00,61.00,40.00,49.60
93.00,70.00,72.00,77.90
79.00,84.00,62.00,71.50
52.00,90.00,85.00,76.10
46.00,43.00,40.00,42.40
66.00,69.00,74.00,70.60
51.00,77.00,60.00,60.70
79.00,42.00,67.00,65.60
41.00,97.00,75.00,69.20
69.00,43.00,92.00,75.30
55.00,84.00,93.00,79.80
90.00,84.00,98.00,92.80
70.00,81.00,72.00,73.20
72.00,91.00,76.00,77.80
92.00,77.00,97.00,91.50
94.00,42.00,79.00,76.10
54.00,82.00,46.00,55.60
80.00,65.00,64.00,69.00
54.00,73.00,90.00,75.80
59.00,47.00,50.00,52.10
84.00,68.00,54.00,65.80
68.00,50.00,45.00,52.90
43.00,49.00,80.00,62.70
63.00,45.00,48.00,51.90
68.00,77.00,76.00,73.80
97.00,87.00,92.00,92.50
76.00,45.00,45.00,54.30
92.00,77.00,95.00,90.50
73.00,47.00,84.00,73.30
45.00,50.00,81.00,64.00
60.00,40.00,87.00,69.50
50.00,41.00,60.00,53.20
98.00,47.00,95.00,86.30
81.00,82.00,74.00,77.70
96.00,91.00,53.00,73.50
78.00,98.00,84.00,85.00
44.00,76.00,74.00,65.40
70.00,94.00,87.00,83.30
